Name,Full Address,Address,Cuisine,Description,Photo
Crossings Cafe,"55 Waterloo Street, Singapore, 187954",55 Waterloo Street,Fusion,"The pork chop is cooked and fried to a crispy lovely brown. It's Hainanese-inspired pork chop, but surprisingly also reminds the taste buds of Japanese katsu. A lovely fusion of taste, and with the comfortable dining ambience, simply a must-try. Plus, all of the restaurant's profits go towards charitable and social causes.  ","https://res.cloudinary.com/yumssg/image/upload/c_fill,h_600,w_600/5D892AFC-2219-4594-926B-68C03AD01326_aoubrb.jpg"
The Pound Cafe,"100 Jalan Sultan, #01-17B Sultan Plaza Singapore 199001",100 Jalan Sultan,Café,"A very cosy Korean-owned cafe, with strong coffee and mouth-watering cakes that the cafe owner baked herself. The Single Origin and Pound Signature iced coffee is worth a try. Recommending their lovely ESPRESSO ROLL cake. In fact, the cakes and biscuits are all flavorful! Good coffee, wonderful cake, and a comfortable ambience to bask in on any afternoon.","https://res.cloudinary.com/yumssg/image/upload/c_fill,h_600,w_600/B1189155-981A-4732-9710-1B2BD4A88366_nhiaen.jpg"
BBBurgers,"168 Punggol Field, #B1-05 Punggol Plaza, Singapore 820168",168 Punggol Field,Korean,"BBBurgers, a Korean smashed burger kiosk was born out of their founder Vinn's idea of putting Korean barbecue ingredients into a burger. 

Though it took 24 hours for the chef to marinate the buttermilk gojuchang fried chicken thigh, it only took me 2.4 seconds to gobble it down. It was no surprise that the red chilli sauce went well with the fried chicken thigh.","https://res.cloudinary.com/yumssg/image/upload/c_fill,h_600,w_600/BBBurgers-wide-angle_h8lrhk.jpg"
Say Seng Famous Tau Kwa Pau,"271 Onan Road, Singapore 424768",271 Onan Road,Chinese,"The braised egg bits and fishcake slices were springy and soft, the cucumbers were crunchy and added a freshness to each mouthful, and the fried yam bits were addictively salty. All the ingredients were slathered in a thick braised duck sauce, which was rich and savoury.

When I paired it together with the silky tau kwa slices, it was absolutely divine. By itself, the filling might be too salty, so the silky-smooth tau kwa helped to balance out the savoury flavours.","https://res.cloudinary.com/yumssg/image/upload/c_fill,h_600,w_600/Dunman-Food-Centre-0047_mt2bdk.jpg"
Ah Kong Wah Kuih,"335 Smith Street, Singapore 050335",335 Smith Street,Chinese,"It turns out that wah kueh, meaning 'bowl cake' in Hokkien, is a traditional Hokkien snack and one of those rare hawker dishes that are quickly disappearing.

The Wah Kueh bears a resemblance to the more famous chwee kueh except that instead of savoury chai poh pieces on top, Ah Kong's one is covered in a brown sauce, minced garlic, and chilli sauce. If you eat it right there and then, you'll be served your wah kueh in a bowl that explains its namesake.","https://res.cloudinary.com/yumssg/image/upload/c_fill,h_600,w_600/Ah-Kong-Wah-Kueh-5_m8pnk7.jpg"
Shun Li Ah Ma Lor Mee,"85 Redhill Lane, Singapore 150085",85 Redhill Lane,Chinese,"My jaw literally dropped when my order is done. The bowl was filled to the brim and packed with ingredients! Not only that, the ingredients were arranged impeccably on top of the noodle. 

The ingredients included uniformly sliced ngor hiang and pork belly, half a braised egg, one fried fish meat nugget (which I mistook for fish cake) and crispy flour bits.","https://res.cloudinary.com/yumssg/image/upload/c_fill,h_600,w_600/50082488577_d7d869674e_o_zunpy4.jpg"
Golden Mile Fish Porridge and Seafood Soup,"505 Beach Road, Singapore 199583",505 Beach Road,Chinese,"Signature fried double fish soup is delicious. It comes with fresh and good quality and chunky fish slices, vegetables, tofu, homemade wontan and tomatoes. Soup is flavourful and full of unami. Yam rice comes with generous cubes of yam and pumpkin. Homemade chilli is on point. I highly recommend their fried fish which is well marinated and fried to perfection. Yummy and so comforting on cooling weather like today!","https://res.cloudinary.com/yumssg/image/upload/c_fill,h_600,w_600/258872541_10158101920980876_745324163065747628_n.jpg_ht73dk.jpg"
Wen Wen Big Prawn Noodle,"69 Geylang Bahru, #01-22, Singapore 330069",69 Geylang Bahru,Chinese,"This unassuming hawker stall in Geylang Bahru hawker centre looks like your typical prawn mee stall during the day, but come nightfall, all the tables around the stall will spot a steamboat pot filled with some of the freshest and highest quality seafood you can find in Singapore!

The soup is made from boiling pork bones, ikan bilis, dried cuttlefish and pu-erh tea.  The pu-erh tea helps cut through the fat and Richard guarantees that you will never get thirsty from drinking the soup. No herbs or ginger is added to the soup so that you can savour the natural sweetness of the seafood.  It is really good to the last drop!  In fact, it's better towards the end when it gets more concentrated!  4.5/5","https://res.cloudinary.com/yumssg/image/upload/c_fill,h_600,w_600/Seafood-Hotpot_wv0hlt.jpg"
91 Fried Kway Teow Mee,"505 Beach Road, Singapore 199583",505 Beach Road,Chinese,"Named after its stall number, 91 Fried Kway Teow Mee has been serving their version of char kway teow - no pork, no lard - with a mountain of chye sim for over 20 years. The stall has won numerous accolades, including being featured in the Michelin Guide since 2016.

The Char Kway Teow comes in two sizes and I decided to go for the small ($4.20) portion. The kway teow was definitely less oily than what's usually offered in the market, and the springiness of the noodles was noteworthy. The prawns were crunchy, but I found the chye sim a tad too bland.","https://res.cloudinary.com/yumssg/image/upload/c_fill,h_600,w_600/91FriedKwayTeowMee-1-1536x864_c11dac.jpg"
Ah Hua Teochew Fishball Noodle,"415 Pandan Gardens, #01-117, Singapore 600415",415 Pandan Gardens,Chinese,"The other must-try dish is their Signature (as it is written on their signboard; $5) which is bee tai mak (rat's tails, rice noodles) dressed in a simple sauce of lard, possibly onion oil, tang chai (preserved cabbage) and fish sauce.

It is in this dish that they serve their coveted handmade fish paste items of flat fish rulers and fish vegetable rolls.

Almost no fishball noodle stall I know of hand-makes them anymore, only here. 

It's a very unique dish and if you only have stomach space for one dish, save it for this.","https://res.cloudinary.com/yumssg/image/upload/c_fill,h_600,w_600/IMG_8850_m7e2qi.jpg"
